,ci_test_results,z_test_results,z_test_p_values,mean_diff
0,True,True,0.17935507499860204,3.45234777120001
1,False,False,6.291171861808308e-05,6.473980969000088
2,True,True,0.7046034681030153,-0.7634070435804325
3,False,False,0.015753972511369136,3.3344237070599982
4,True,True,0.09176777808196993,-2.725465381739597
5,True,True,0.6305279322950621,1.074761632999909
6,True,True,0.05085094485699335,3.3766233180000356
7,True,True,0.3847092487643954,1.3239085756047337
8,True,True,0.8339745896134325,-0.15956146900000068
9,False,False,3.3561610236534403e-10,8.661250377599988
10,True,True,0.9421997016699502,0.09349685151999676
11,True,True,0.6597074125126259,-0.9517191086219983
12,True,True,0.40539229165980606,0.7315005632309175
13,False,False,4.0309268621519264e-06,3.6584739588000055
14,True,True,0.22203582508496467,30.522599929999956
15,True,True,0.8694587410969313,-0.15222922017999885
16,True,True,0.14251028173103716,-1.100087435599999
17,True,True,0.2104865084874199,2.3642272040000805
18,True,False,0.03609765408856413,-2.888073080000005
19,False,False,2.147931931291622e-37,24.73563001999603
20,True,True,0.48668557278112745,-1.5713565660000484
21,True,False,0.04985935322812013,-3.6101184150076047
22,True,True,0.0684379573333524,11.078509527999984
23,True,True,0.7807649039575059,0.7155404520000346
24,True,True,0.12223649534456373,1.3746910824899974
25,True,True,0.27916570194958445,6.473213986080907
26,True,True,0.22839318185204027,-0.8787648459199939
27,True,True,0.5895647348627966,-2.6744258200000104
28,True,True,0.5744088850786948,0.607224103465151
29,True,True,0.7549488380312164,0.05807937151415199
30,True,True,0.23183138289125738,-1.733993759395215
31,True,True,0.6810330353243059,-0.6056663524000268
32,True,True,0.26770334292319997,1.360108274999303
33,False,False,7.33289451419209e-14,301.0088744239997
34,True,True,0.060929482193263065,-3.024221072001738
35,True,True,0.47529184004817027,1.271806989599984
36,True,False,0.04431660078817043,-19.114355824
37,False,False,3.148263710753985e-31,52.28691624200002
38,True,True,0.24150386939470714,3.8461298889800446
39,True,True,0.16421444807095553,1.119327881635991
40,True,True,0.8780120608248763,0.18376447390723993
41,True,True,0.5826160217992267,-0.5713072295400128
42,True,True,0.1929776805411172,-1.8850987763999711
43,True,True,0.9114571470390527,0.31907614974003806
44,True,False,0.035311820561926256,4.562499167999981
45,True,True,0.9517897411559169,0.07732660479170272
46,True,True,0.37277198161693426,1.1780142311380044
47,True,True,0.07603381637925917,1.6502823766459978
48,True,False,0.024766110597061568,3.853035726720581
49,True,True,0.7561124442691552,0.10859459669169219
50,True,True,0.13635025792430222,-2.023041583479989
51,False,False,1.4693253980831154e-08,98.37447376200004
